סוג,כתובת,x,y
כלוב קרטון,יצחק אלחנן,32.149392,34.8309757
כלוב קרטון,אוסישקין 5,32.1384018,34.8413326
כלוב קרטון,אוסישקין 4,32.1378327,34.8415453
כלוב קרטון,אוסישקין 32,32.1401707,34.842563
כלוב קרטון,אוסישקין 66,32.1436357,34.844163
כלוב קרטון,הנצח 3,32.1385374,34.8439333
כלוב קרטון,הנצח משטרה,32.1369766,34.8431735
כלוב קרטון,י.ל פרץ 2,32.1339878,34.84064
כלוב קרטון,סמטת שושן,32.1349146,34.8387148
כלוב קרטון,החרש,32.13697,34.844502
כלוב קרטון,בית גוברין 5,32.1287006,34.8521661
כלוב קרטון,החרושת 6,32.1286769,34.8586968
כלוב קרטון,החרושת מאפייה,32.1293076,34.8590827
כלוב קרטון,אלכסנדרוני 2,32.131305,34.8631441
כלוב קרטון,"שח""ל 21",32.132447,34.8509751
